url,main_category,sub_category,n_peps,peps
https://docs.python.org/3/library/importlib.html,importlib,importlib,12,"['3120', '0235', '3147', '0302', '0263', '0420', '0489', '0451', '0328', '0552', '0366', '0488']"
https://docs.python.org/3/library/sys.html,sys,sys,9,"['0393', '0525', '0529', '0492', '0421', '0302', '0451', '3149', '0411']"
https://docs.python.org/3/library/__future__.html,__future__,__future__,9,"['0255', '0238', '0563', '3105', '0479', '3112', '0328', '0343', '0227']"
https://docs.python.org/3/library/runpy.html,runpy,runpy,5,"['3147', '0302', '0338', '0451', '0366']"
https://docs.python.org/3/library/collections.abc.html,collections,collections.abc,4,"['0342', '3119', '0492', '0525']"
https://docs.python.org/3/library/string.html,string,string,4,"['0515', '0378', '0292', '3101']"
https://docs.python.org/3/library/py_compile.html,py_compile,py_compile,3,"['3147', '0552', '0488']"
https://docs.python.org/3/library/socket.html,socket,socket,3,"['0475', '0383', '3151']"
https://docs.python.org/3/library/typing.html,typing,typing,3,"['0526', '0484', '0483']"
https://docs.python.org/3/library/functions.html,functions,functions,3,"['0475', '0328', '0302']"
https://docs.python.org/3/library/inspect.html,inspect,inspect,3,"['0525', '0362', '0492']"
https://docs.python.org/3/library/stdtypes.html,stdtypes,stdtypes,3,"['0237', '0461', '3118']"
https://docs.python.org/3/library/exceptions.html,exceptions,exceptions,3,"['0475', '0479', '3151']"
https://docs.python.org/3/library/types.html,types,types,2,"['0560', '3115']"
https://docs.python.org/3/library/imp.html,imp,imp,2,"['3147', '0302']"
https://docs.python.org/3/library/pickle.html,pickle,pickle,2,"['0307', '3154']"
https://docs.python.org/3/library/abc.html,abc,abc,2,"['3141', '3119']"
https://docs.python.org/3/library/zipimport.html,zipimport,zipimport,2,"['0273', '0302']"
https://docs.python.org/3/library/dataclasses.html,dataclasses,dataclasses,2,"['0526', '0557']"
https://docs.python.org/3/library/select.html,select,select,2,"['0475', '3151']"
https://docs.python.org/3/library/os.html,os,os,2,"['0475', '0524']"
https://docs.python.org/3/library/venv.html,venv,venv,2,"['0397', '0405']"
https://docs.python.org/3/library/pkgutil.html,pkgutil,pkgutil,2,"['0302', '0451']"
